id,slug,nome_atual,nome_sugerido,source_id,supplier_code,external_id,marca_atual,brand_conflict,categoria_atual,categoria_desconhecida,quantidade_imagens,preco,status,visibility,readiness_blockers,warnings,needs_name_review,prioridade_revisao
4,adidas-051f0e,Adidas,Adidas,051f0ef272bfe6b5f8492956,55072411,051f0ef272bfe6b5f8492956,Adidas,False,acessorios,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;PRIMARY_IMAGE_REQUIRED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
5,adidas-bag-1386aa,Adidas Bag,Adidas Bag,1386aaf48fb5e0d3cf676640,77072634,1386aaf48fb5e0d3cf676640,Adidas,False,acessorios,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;PRIMARY_IMAGE_REQUIRED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
6,adidas-bag-8a4756,Adidas Bag,Adidas Bag,8a475652eaa124201c11a3db,77072633,8a475652eaa124201c11a3db,Adidas,False,acessorios,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;PRIMARY_IMAGE_REQUIRED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
198,gucci-e-adidas-jewelry-7a794e,Gucci e Adidas Jewelry,Gucci e Adidas Jewelry,7a794e51be3493cd958c8d80,55072898,7a794e51be3493cd958c8d80,Adidas,True,acessorios,False,10,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED;BRAND_CONFLICT,SIZES_EMPTY;SEO_EMPTY,True,alta
199,gucci-e-adidas-jewelry-ab9f4d,Gucci e Adidas Jewelry,Gucci e Adidas Jewelry,ab9f4da8c021fb5a70314a3a,55072028,ab9f4da8c021fb5a70314a3a,Adidas,True,acessorios,False,10,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED;BRAND_CONFLICT,SIZES_EMPTY;SEO_EMPTY,True,alta
200,gucci-e-adidas-jewelry-b3c343,Gucci e Adidas Jewelry,Gucci e Adidas Jewelry,b3c343458154cea761e8ccfd,55072634,b3c343458154cea761e8ccfd,Adidas,True,acessorios,False,6,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED;BRAND_CONFLICT,SIZES_EMPTY;SEO_EMPTY,True,alta
201,gucci-e-adidas-jewelry-bfced8,Gucci e Adidas Jewelry,Gucci e Adidas Jewelry,bfced8958f07180fdcc5b4ce,55072632,bfced8958f07180fdcc5b4ce,Adidas,True,acessorios,False,9,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED;BRAND_CONFLICT,SIZES_EMPTY;SEO_EMPTY,True,alta
202,gucci-e-adidas-jewelry-e8e414,Gucci e Adidas Jewelry,Gucci e Adidas Jewelry,e8e4142a89f89b71a0182717,55073004,e8e4142a89f89b71a0182717,Adidas,True,acessorios,False,10,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED;BRAND_CONFLICT,SIZES_EMPTY;SEO_EMPTY,True,alta
203,adidas-0e37eb,Adidas,Adidas,0e37eb0c869dfbf253bb9935,66072309,0e37eb0c869dfbf253bb9935,Adidas,False,calcas,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED;NAME_REVIEW_REQUIRED,SIZES_EMPTY;SEO_EMPTY,True,alta
204,adidas-sweater-trousers-pants-d16ef7,Adidas Sweater Trousers Pants,Adidas Sweater Trousers Pants,d16ef7d5660f24f198aff525,66072310,d16ef7d5660f24f198aff525,Adidas,False,calcas,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED,SIZES_EMPTY;SEO_EMPTY,False,media
205,adidas-trousers-69e5ec,Adidas Trousers,Adidas Trousers,69e5eca95e69841bd9271af9,55072713,69e5eca95e69841bd9271af9,Adidas,False,calcas,False,12,0.00,draft,hidden,PRICE_NOT_DEFINED,SIZES_EMPTY;SEO_EMPTY,False,media
